Serial #,Day,Month,Year,Time,Relative Humidity,Temperature
5500000016036E41,1,8,2010,0:00,42.194,17.293
5500000016036E41,1,8,2010,2:00,45.599,16.354
5500000016036E41,1,8,2010,4:00,48.2,15.666
5500000016036E41,1,8,2010,6:00,48.352,14.476
5500000016036E41,1,8,2010,8:00,51.073,13.6
5500000016036E41,1,8,2010,10:00,38.9,25.549
5500000016036E41,1,8,2010,12:00,29.911,29.297
5500000016036E41,1,8,2010,14:00,29.094,31.982
5500000016036E41,1,8,2010,16:00,42.505,21.86
5500000016036E41,1,8,2010,18:00,43.593,20.297
5500000016036E41,1,8,2010,20:00,64.361,15.603
5500000016036E41,1,8,2010,22:00,71.738,14.226
5500000016036E41,2,8,2010,0:00,74.991,13.412
5500000016036E41,2,8,2010,2:00,75.796,13.6
5500000016036E41,2,8,2010,4:00,77.925,13.286
5500000016036E41,2,8,2010,6:00,79.636,12.911
5500000016036E41,2,8,2010,8:00,79.505,14.351
5500000016036E41,2,8,2010,10:00,59.778,19.546
5500000016036E41,2,8,2010,12:00,45.599,22.486
5500000016036E41,2,8,2010,14:00,47.743,21.798
5500000016036E41,2,8,2010,16:00,44.521,21.985
5500000016036E41,2,8,2010,18:00,52.123,19.796
5500000016036E41,2,8,2010,20:00,77.129,15.353
5500000016036E41,2,8,2010,22:00,83.654,14.601
5500000016036E41,3,8,2010,0:00,85.944,14.414
5500000016036E41,3,8,2010,2:00,88.951,13.85
5500000016036E41,3,8,2010,4:00,92.753,12.973
5500000016036E41,3,8,2010,6:00,89.57,13.725
5500000016036E41,3,8,2010,8:00,84.293,15.04
5500000016036E41,3,8,2010,10:00,68.986,18.357
5500000016036E41,3,8,2010,12:00,51.224,22.486
5500000016036E41,3,8,2010,14:00,46.827,22.673
5500000016036E41,3,8,2010,16:00,45.599,22.048
5500000016036E41,3,8,2010,18:00,44.366,21.923
5500000016036E41,3,8,2010,20:00,71.465,16.793
5500000016036E41,3,8,2010,22:00,78.321,15.916
5500000016036E41,4,8,2010,0:00,80.29,15.791
5500000016036E41,4,8,2010,2:00,81.462,15.728
5500000016036E41,4,8,2010,4:00,86.449,15.541
5500000016036E41,4,8,2010,6:00,89.447,15.228
5500000016036E41,4,8,2010,8:00,87.58,16.167
5500000016036E41,4,8,2010,10:00,68.153,19.483
5500000016036E41,4,8,2010,12:00,46.214,24.549
5500000016036E41,4,8,2010,14:00,43.902,23.736
5500000016036E41,4,8,2010,16:00,47.285,22.486
5500000016036E41,4,8,2010,18:00,56.718,20.672
5500000016036E41,4,8,2010,20:00,78.453,15.728
5500000016036E41,4,8,2010,22:00,75.662,15.666
5500000016036E41,5,8,2010,0:00,77.262,15.228
5500000016036E41,5,8,2010,2:00,81.332,14.476
5500000016036E41,5,8,2010,4:00,88.703,13.6
5500000016036E41,5,8,2010,6:00,91.047,13.6
5500000016036E41,5,8,2010,8:00,78.98,15.541
5500000016036E41,5,8,2010,10:00,55.836,20.86
5500000016036E41,5,8,2010,12:00,46.367,23.611
5500000016036E41,5,8,2010,14:00,43.902,24.549
5500000016036E41,5,8,2010,16:00,50.32,22.986
5500000016036E41,5,8,2010,18:00,61.221,19.984
5500000016036E41,5,8,2010,20:00,81.851,15.916
5500000016036E41,5,8,2010,22:00,81.592,15.603
5500000016036E41,6,8,2010,0:00,82.883,14.727
5500000016036E41,6,8,2010,2:00,87.329,14.163
5500000016036E41,6,8,2010,4:00,89.199,13.975
5500000016036E41,6,8,2010,6:00,88.454,13.662
5500000016036E41,6,8,2010,8:00,82.368,15.228
5500000016036E41,6,8,2010,10:00,55.098,21.798
